Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
1041,HANBIT-3,PWR,Operational,Yeonggwang-gun,986,1994-10-30,1994-10-30,KR
1022,HANBIT-4,PWR,Operational,Yeonggwang-gun,970,1995-07-18,1995-07-18,KR
1050,HANBIT-5,PWR,Operational,Yeonggwang-gun,992,2001-12-19,2001-12-19,KR
1053,HANBIT-6,PWR,Operational,Yeonggwang-gun,993,2002-09-16,2002-09-16,KR
1025,HANBIT-1,PWR,Operational,Yeonggwang-gun,995,1986-03-05,1986-03-05,KR
1025,HANBIT-2,PWR,Operational,Yeonggwang-gun,988,1986-11-11,1986-11-11,KR
1010,HANUL-2,PWR,Operational,Ulchin-gun,967,1989-04-14,1989-04-14,KR
1051,HANUL-3,PWR,Operational,Ulchin-gun,997,1998-01-06,1998-01-06,KR
1053,HANUL-4,PWR,Operational,Ulchin-gun,999,1998-12-28,1998-12-28,KR
1049,HANUL-5,PWR,Operational,Ulchin-gun,998,2003-12-18,2003-12-18,KR
1050,HANUL-6,PWR,Operational,Ulchin-gun,997,2005-01-07,2005-01-07,KR
1013,HANUL-1,PWR,Operational,Ulchin-gun,966,1988-04-07,1988-04-07,KR
607,KORI-1,PWR,Permanent Shutdown,Gijang-gun,576,1977-06-26,1977-06-26,KR
681,KORI-2,PWR,Operational,Gijang-gun,640,1983-04-22,1983-04-22,KR
1046,KORI-3,PWR,Operational,Gijang-gun,1011,1985-01-22,1985-01-22,KR
1046,KORI-4,PWR,Operational,Gijang-gun,1012,1985-12-31,1985-12-31,KR
1400,SHIN-HANUL-1,PWR,Operational,Ulchin-gun,1340,2022-06-09,2022-06-09,KR
1400,SHIN-HANUL-2,PWR,Under Construction,Ulchin-gun,1340,,NA,KR
1046,SHIN-KORI-1,PWR,Operational,Busan & Ulsan,996,2010-08-04,2010-08-04,KR
1047,SHIN-KORI-2,PWR,Operational,Busan & Ulsan,996,2012-01-28,2012-01-28,KR
1488,SHIN-KORI-3,PWR,Operational,Ulsan,1416,2016-01-15,2016-01-15,KR
1493,SHIN-KORI-4,PWR,Operational,Ulsan,1418,2019-04-22,2019-04-22,KR
1400,SHIN-KORI-5,PWR,Under Construction,Ulsan,1340,,NA,KR
1400,SHIN-KORI-6,PWR,Under Construction,Ulsan,1340,,NA,KR
1048,SHIN-WOLSONG-1,PWR,Operational,Gyeongju-si,997,2012-01-27,2012-01-27,KR
1050,SHIN-WOLSONG-2,PWR,Operational,Gyeongju-si,993,2015-02-26,2015-02-26,KR
628,WOLSONG-3,PHWR,Operational,Gyeongju-si,607,1998-03-25,1998-03-25,KR
595,WOLSONG-4,PHWR,Operational,Gyeongju-si,575,1999-05-21,1999-05-21,KR
683,WOLSONG-1,PHWR,Permanent Shutdown,Gyeongju-si,661,1982-12-31,1982-12-31,KR
592,WOLSONG-2,PHWR,Operational,Gyeongju-si,582,1997-04-01,1997-04-01,KR
