State, Residential (c/kWh), Commercial (c/kWh), Industry (c/kWh), Total (c/kWh)
Alaska,23.9, 20.87, 18.7, 21.41
Alabama,14.63, 13.16, 7.11, 11.47
Arkansas,12.25, 10.34, 6.87, 9.73
Arizona,14.02, 11.79, 8.11, 12.19
California,29.51, 23.91, 18.64, 24.87
Colorado,14.3, 11.64, 8.5, 11.76
Connecticut,29.88, 19.99, 15.69, 24.24
District of Columbia,16.45, 16.94, 10.85, 16.5
Delaware,15.73, 11.83, 7.85, 12.85
Florida,15.21, 11.95, 9.39, 13.53
Georgia,13.69, 10.7, 6.88, 11.06
Hawaii,42.39, 39.03, 35.28, 38.6
Iowa,13.31, 10.33, 6.91, 9.42
Idaho,11.05, 8.78, 7.17, 9.08
Illinois,15.71, 11.24, 8.2, 11.75
Indiana,14.94, 12.55, 8.24, 11.49
Kansas,13.38, 10.85, 7.64, 10.8
Kentucky,12.65, 11.38, 6.55, 9.96
Louisiana,11.55, 10.45, 5.88, 8.91
Massachusetts,29.61, 19.62, 17.88, 23.21
Maryland,16.6, 12.77, 9.94, 14.34
Maine,27.42, 17.88, 12.3, 20.84
Michigan,18.84, 13.4, 8.16, 13.68
Minnesota,14.73, 12.39, 9.2, 12.21
Missouri,12.58, 10.14, 7.9, 10.87
Mississippi,13.23, 12.37, 6.96, 10.95
Montana,12.54, 12.11, 7.8, 10.97
North Carolina,12.93, 9.67, 7.15, 10.61
North Dakota,11.01, 7.38, 7.37, 8.03
Nebraska,11.2, 8.76, 7.63, 9.14
New Hampshire,28.15, 20.4, 15.76, 22.96
New Jersey,17.7, 14, 11.68, 15.27
New Mexico,13.85, 10.68, 5.75, 9.47
Nevada,16.67, 11.91, 10.36, 13.09
New York,22.25, 18.01, 6.87, 18.28
Ohio,15.38, 10.75, 7.03, 11.04
Oklahoma,12.08, 9.34, 6.26, 9.3
Oregon,12.73, 9.92, 7.52, 10.32
Pennsylvania,18.1, 11.26, 7.75, 12.57
Rhode Island,27.02, 17.68, 18.98, 21.62
South Carolina,13.68, 10.39, 6.68, 10.5
South Dakota,12.32, 10.16, 8.01, 10.49
Tennessee,12.19, 11.8, 6.23, 10.69
Texas,14.46, 8.82, 6.6, 10.04
Utah,11.2, 8.51, 6.99, 9.03
Virginia,14.26, 8.95, 8.92, 10.68
Vermont,20.82, 18, 11.27, 17.53
Washington,10.98, 9.92, 6.35, 9.58
Wisconsin,16.88, 12.76, 8.68, 12.72
West Virginia,14.05, 11.03, 7.24, 10.26
Wyoming,11.46, 8.94, 7.06, 8.39
